i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
40	5615.60187000	82	20	4.20000000	+	e	X1Sigma+	0	0	0	0	Ca	5615.60187000
41	5621.31742633	18	4	0.07490067	+	e	X1Sigma+	2	0	0	0	Ma	5621.31665200
42	5750.21228662	22	5	0.10760067	-	e	X1Sigma+	2	0	0	0	Ma	5750.22063900
43	5888.35150466	62	15	0.53210067	-	e	X1Sigma+	1	0	0	0	Ma	5889.01402300
44	5904.55704684	26	6	0.09490067	+	e	X1Sigma+	2	0	0	0	Ma	5904.55602900
45	6084.13391383	30	7	0.12760067	-	e	X1Sigma+	2	0	0	0	Ma	6084.13359400
46	6152.17091200	86	21	4.62000000	-	e	X1Sigma+	0	0	0	0	Ca	6152.17091200
47	6288.73973620	34	8	0.21490067	+	e	X1Sigma+	2	0	0	0	Ma	6288.73368400
48	6296.72638280	66	16	0.73790067	+	e	X1Sigma+	1	0	0	0	Ma	6297.59023000
49	6518.08818365	38	9	0.20760067	-	e	X1Sigma+	2	0	0	0	Ma	6518.10672300
50	6709.60266700	90	22	5.06000000	+	e	X1Sigma+	0	0	0	0	Ca	6709.60266700
51	6728.84774000	70	17	3.11000000	-	e	X1Sigma+	1	0	0	0	Ca	6728.84774000
52	6771.96448899	42	10	0.27490067	+	e	X1Sigma+	2	0	0	0	Ma	6771.97377600
53	7050.03476057	46	11	0.26910067	-	e	X1Sigma+	2	0	0	0	Ma	7050.02717200
54	7182.29202500	74	18	3.47000000	+	e	X1Sigma+	1	0	0	0	Ca	7182.29202500
55	7287.29250700	94	23	5.52000000	-	e	X1Sigma+	0	0	0	0	Ca	7287.29250700
56	7351.93117700	50	12	1.66000000	+	e	X1Sigma+	2	0	0	0	Ca	7351.93117700
57	7657.40619600	78	19	3.85000000	-	e	X1Sigma+	1	0	0	0	Ca	7657.40619600
58	7677.32272200	54	13	1.92000000	-	e	X1Sigma+	2	0	0	0	Ca	7677.32272200
59	7870.51395421	2	0	0.05490067	+	e	X1Sigma+	3	0	0	0	Ma	7870.51213500
60	7884.61839700	98	24	6.00000000	+	e	X1Sigma+	0	0	0	0	Ca	7884.61839700
61	7895.45930902	6	1	0.09460000	-	e	X1Sigma+	3	0	0	0	Ma	7895.45908200
62	7945.32410080	10	2	0.05490067	+	e	X1Sigma+	3	0	0	0	Ma	7945.32154500
63	8020.03745325	14	3	0.09460000	-	e	X1Sigma+	3	0	0	0	Ma	8020.03673200
64	8025.81218000	58	14	2.20000000	+	e	X1Sigma+	2	0	0	0	Ca	8025.81218000
65	8119.51067775	18	4	0.07490067	+	e	X1Sigma+	3	0	0	0	Ma	8119.51063800
66	8153.65197700	82	20	4.25000000	+	e	X1Sigma+	1	0	0	0	Ca	8153.65197700
67	8243.62195329	22	5	0.10760067	-	e	X1Sigma+	3	0	0	0	Ma	8243.61825500
68	8392.20547996	26	6	0.11490067	+	e	X1Sigma+	3	0	0	0	Ma	8392.20386000
69	8396.98417700	62	15	2.50000000	-	e	X1Sigma+	2	0	0	0	Ca	8396.98417700
70	8500.94190400	102	25	6.50000000	-	e	X1Sigma+	0	0	0	0	Ca	8500.94190400
71	8565.07624716	30	7	0.12760067	-	e	X1Sigma+	3	0	0	0	Ma	8565.08136500
72	8670.47068300	86	21	4.67000000	-	e	X1Sigma+	1	0	0	0	Ca	8670.47068300
73	8762.03216757	34	8	0.21490067	+	e	X1Sigma+	3	0	0	0	Ma	8762.03473700
74	8790.39844400	66	16	2.82000000	+	e	X1Sigma+	2	0	0	0	Ca	8790.39844400
75	8982.81847600	38	9	1.05000000	-	e	X1Sigma+	3	0	0	0	Ca	8982.81847600
76	9135.60918100	106	26	7.02000000	+	e	X1Sigma+	0	0	0	0	Ca	9135.60918100
77	9205.59070000	70	17	3.16000000	-	e	X1Sigma+	2	0	0	0	Ca	9205.59070000
78	9207.28421100	90	22	5.11000000	+	e	X1Sigma+	1	0	0	0	Ca	9207.28421100
79	9227.15816300	42	10	1.25000000	+	e	X1Sigma+	3	0	0	0	Ca	9227.15816300
80	9494.75105200	46	11	1.47000000	-	e	X1Sigma+	3	0	0	0	Ca	9494.75105200
81	9642.07355700	74	18	3.52000000	+	e	X1Sigma+	2	0	0	0	Ca	9642.07355700
82	9763.49601400	94	23	5.57000000	-	e	X1Sigma+	1	0	0	0	Ca	9763.49601400
83	9785.26672900	50	12	1.71000000	+	e	X1Sigma+	3	0	0	0	Ca	9785.26672900
84	9787.95192800	110	27	7.56000000	-	e	X1Sigma+	0	0	0	0	Ca	9787.95192800
85	10098.34781000	54	13	1.97000000	-	e	X1Sigma+	3	0	0	0	Ca	10098.34781000
86	10099.33744900	78	19	3.90000000	-	e	X1Sigma+	2	0	0	0	Ca	10099.33744900
87	10264.60324000	2	0	0.20000000	+	e	X1Sigma+	4	0	0	0	Ca	10264.60324000
88	10288.59704900	6	1	0.22000000	-	e	X1Sigma+	4	0	0	0	Ca	10288.59704900
89	10336.55378400	10	2	0.26000000	+	e	X1Sigma+	4	0	0	0	Ca	10336.55378400
90	10338.49207800	98	24	6.05000000	+	e	X1Sigma+	1	0	0	0	Ca	10338.49207800
91	10408.41175200	14	3	0.32000000	-	e	X1Sigma+	4	0	0	0	Ca	10408.41175200
92	10433.61069300	58	14	2.25000000	+	e	X1Sigma+	3	0	0	0	Ca	10433.61069300
93	10457.28832000	114	28	8.12000000	+	e	X1Sigma+	0	0	0	0	Ca	10457.28832000
94	10504.07858200	18	4	0.40000000	+	e	X1Sigma+	4	0	0	0	Ca	10504.07858200
95	10576.85157700	82	20	4.30000000	+	e	X1Sigma+	2	0	0	0	Ca	10576.85157700
96	10623.43143500	22	5	0.50000000	-	e	X1Sigma+	4	0	0	0	Ca	10623.43143500
97	10766.31727600	26	6	0.62000000	+	e	X1Sigma+	4	0	0	0	Ca	10766.31727600
98	10790.64634300	62	15	2.55000000	-	e	X1Sigma+	3	0	0	0	Ca	10790.64634300
99	10931.64188600	102	25	6.55000000	-	e	X1Sigma+	1	0	0	0	Ca	10931.64188600
100	10932.55320800	30	7	0.76000000	-	e	X1Sigma+	4	0	0	0	Ca	10932.55320800
101	11074.06485800	86	21	4.72000000	-	e	X1Sigma+	2	0	0	0	Ca	11074.06485800
102	11121.92687900	34	8	0.92000000	+	e	X1Sigma+	4	0	0	0	Ca	11121.92687900
103	11142.92391000	118	29	8.70000000	-	e	X1Sigma+	0	0	0	0	Ca	11142.92391000
104	11169.02112000	66	16	2.87000000	+	e	X1Sigma+	3	0	0	0	Ca	11169.02112000
105	11334.19694000	38	9	1.10000000	-	e	X1Sigma+	4	0	0	0	Ca	11334.19694000
106	11542.29935400	106	26	7.07000000	+	e	X1Sigma+	1	0	0	0	Ca	11542.29935400
107	11568.27763700	70	17	3.21000000	-	e	X1Sigma+	3	0	0	0	Ca	11568.27763700
108	11569.09356800	42	10	1.30000000	+	e	X1Sigma+	4	0	0	0	Ca	11569.09356800
109	11590.40688300	90	22	5.16000000	+	e	X1Sigma+	2	0	0	0	Ca	11590.40688300
110	11826.31904300	46	11	1.52000000	-	e	X1Sigma+	4	0	0	0	Ca	11826.31904300
111	11844.15247700	122	30	9.30000000	+	e	X1Sigma+	0	0	0	0	Ca	11844.15247700
112	11987.93563900	74	18	3.57000000	+	e	X1Sigma+	3	0	0	0	Ca	11987.93563900
113	12105.54837700	50	12	1.76000000	+	e	X1Sigma+	4	0	0	0	Ca	12105.54837700
114	12125.28886800	94	23	5.62000000	-	e	X1Sigma+	2	0	0	0	Ca	12125.28886800
115	12169.80375600	110	27	7.61000000	-	e	X1Sigma+	1	0	0	0	Ca	12169.80375600
116	12406.42999400	54	13	2.02000000	-	e	X1Sigma+	4	0	0	0	Ca	12406.42999400
117	12427.49291100	78	19	3.95000000	-	e	X1Sigma+	3	0	0	0	Ca	12427.49291100
118	12546.80871500	2	0	0.25000000	+	e	X1Sigma+	5	0	0	0	Ca	12546.80871500
119	12560.25683800	126	31	9.92000000	-	e	X1Sigma+	0	0	0	0	Ca	12560.25683800
120	12569.85877600	6	1	0.27000000	-	e	X1Sigma+	5	0	0	0	Ca	12569.85877600
121	12615.92858100	10	2	0.31000000	+	e	X1Sigma+	5	0	0	0	Ca	12615.92858100
122	12678.10461000	98	24	6.10000000	+	e	X1Sigma+	2	0	0	0	Ca	12678.10461000
123	12684.95755700	14	3	0.37000000	-	e	X1Sigma+	5	0	0	0	Ca	12684.95755700
124	12728.58645000	58	14	2.30000000	+	e	X1Sigma+	4	0	0	0	Ca	12728.58645000
125	12776.85500900	18	4	0.45000000	+	e	X1Sigma+	5	0	0	0	Ca	12776.85500900
126	12813.48061400	114	28	8.17000000	+	e	X1Sigma+	1	0	0	0	Ca	12813.48061400
127	12886.42619500	82	20	4.35000000	+	e	X1Sigma+	3	0	0	0	Ca	12886.42619500
128	12891.50031900	22	5	0.55000000	-	e	X1Sigma+	5	0	0	0	Ca	12891.50031900
129	13028.74320100	26	6	0.67000000	+	e	X1Sigma+	5	0	0	0	Ca	13028.74320100
130	13071.61519800	62	15	2.60000000	-	e	X1Sigma+	4	0	0	0	Ca	13071.61519800
131	13188.40402700	30	7	0.81000000	-	e	X1Sigma+	5	0	0	0	Ca	13188.40402700
132	13248.23141700	102	25	6.60000000	-	e	X1Sigma+	2	0	0	0	Ca	13248.23141700
133	13290.50961000	130	32	10.56000000	+	e	X1Sigma+	0	0	0	0	Ca	13290.50961000
134	13364.19212100	86	21	4.77000000	-	e	X1Sigma+	3	0	0	0	Ca	13364.19212100
135	13370.27420700	34	8	0.97000000	+	e	X1Sigma+	5	0	0	0	Ca	13370.27420700
136	13435.08938800	66	16	2.92000000	+	e	X1Sigma+	4	0	0	0	Ca	13435.08938800
137	13472.64255700	118	29	8.75000000	-	e	X1Sigma+	1	0	0	0	Ca	13472.64255700
138	13574.11663500	38	9	1.15000000	-	e	X1Sigma+	5	0	0	0	Ca	13574.11663500
139	13799.66618400	42	10	1.35000000	+	e	X1Sigma+	5	0	0	0	Ca	13799.66618400
140	13818.55869700	70	17	3.26000000	-	e	X1Sigma+	4	0	0	0	Ca	13818.55869700
141	13835.03102900	106	26	7.12000000	+	e	X1Sigma+	2	0	0	0	Ca	13835.03102900
142	13860.22813900	90	22	5.21000000	+	e	X1Sigma+	3	0	0	0	Ca	13860.22813900
143	14034.17391800	134	33	11.22000000	-	e	X1Sigma+	0	0	0	0	Ca	14034.17391800
144	14046.63026100	46	11	1.57000000	-	e	X1Sigma+	5	0	0	0	Ca	14046.63026100
145	14146.59014800	122	30	9.35000000	+	e	X1Sigma+	1	0	0	0	Ca	14146.59014800
146	14221.55018500	74	18	3.62000000	+	e	X1Sigma+	4	0	0	0	Ca	14221.55018500
147	14314.68940700	50	12	1.81000000	+	e	X1Sigma+	5	0	0	0	Ca	14314.68940700
148	14373.95345500	94	23	5.67000000	-	e	X1Sigma+	3	0	0	0	Ca	14373.95345500
149	14437.85051900	110	27	7.66000000	-	e	X1Sigma+	2	0	0	0	Ca	14437.85051900
150	14603.49794700	54	13	2.07000000	-	e	X1Sigma+	5	0	0	0	Ca	14603.49794700
151	14643.56917300	78	19	4.00000000	-	e	X1Sigma+	4	0	0	0	Ca	14643.56917300
152	14719.16598300	2	0	0.30000000	+	e	X1Sigma+	6	0	0	0	Ca	14719.16598300
153	14741.28255800	6	1	0.32000000	-	e	X1Sigma+	6	0	0	0	Ca	14741.28255800
154	14785.48595200	10	2	0.36000000	+	e	X1Sigma+	6	0	0	0	Ca	14785.48595200
155	14790.50403800	138	34	11.90000000	+	e	X1Sigma+	0	0	0	0	Ca	14790.50403800
156	14834.61266400	126	31	9.97000000	-	e	X1Sigma+	1	0	0	0	Ca	14834.61266400
157	14851.71671900	14	3	0.42000000	-	e	X1Sigma+	6	0	0	0	Ca	14851.71671900
158	14904.76995600	98	24	6.15000000	+	e	X1Sigma+	3	0	0	0	Ca	14904.76995600
159	14909.66162077	58	14	2.53640067	+	e	X1Sigma+	5	0	0	0	Ma	14912.68468600
160	14939.88583900	18	4	0.50000000	+	e	X1Sigma+	6	0	0	0	Ca	14939.88583900
161	15049.87491200	22	5	0.60000000	-	e	X1Sigma+	6	0	0	0	Ca	15049.87491200
162	15056.02316600	114	28	8.22000000	+	e	X1Sigma+	2	0	0	0	Ca	15056.02316600
163	15084.10013400	82	20	4.40000000	+	e	X1Sigma+	4	0	0	0	Ca	15084.10013400
164	15181.53639800	26	6	0.72000000	+	e	X1Sigma+	6	0	0	0	Ca	15181.53639800
165	15241.85363400	62	15	2.65000000	-	e	X1Sigma+	5	0	0	0	Ca	15241.85363400
166	15334.69391900	30	7	0.86000000	-	e	X1Sigma+	6	0	0	0	Ca	15334.69391900
167	15452.06312300	102	25	6.65000000	-	e	X1Sigma+	3	0	0	0	Ca	15452.06312300
168	15509.14262600	34	8	1.02000000	+	e	X1Sigma+	6	0	0	0	Ca	15509.14262600
169	15535.98884100	130	32	10.61000000	+	e	X1Sigma+	1	0	0	0	Ca	15535.98884100
170	15542.60759100	86	21	4.82000000	-	e	X1Sigma+	4	0	0	0	Ca	15542.60759100
171	15558.74599200	142	35	12.60000000	-	e	X1Sigma+	0	0	0	0	Ca	15558.74599200
172	15590.58477600	66	16	2.97000000	+	e	X1Sigma+	5	0	0	0	Ca	15590.58477600
173	15688.86929200	118	29	8.80000000	-	e	X1Sigma+	2	0	0	0	Ca	15688.86929200
174	15704.64961400	38	9	1.20000000	-	e	X1Sigma+	6	0	0	0	Ca	15704.64961400
175	15920.95438900	42	10	1.40000000	+	e	X1Sigma+	6	0	0	0	Ca	15920.95438900
176	15958.43486600	70	17	3.31000000	-	e	X1Sigma+	5	0	0	0	Ca	15958.43486600
177	16015.20293300	106	26	7.17000000	+	e	X1Sigma+	3	0	0	0	Ca	16015.20293300
178	16018.53702200	90	22	5.26000000	+	e	X1Sigma+	4	0	0	0	Ca	16018.53702200
179	16157.76938900	46	11	1.62000000	-	e	X1Sigma+	6	0	0	0	Ca	16157.76938900
180	16249.98756200	134	33	11.27000000	-	e	X1Sigma+	1	0	0	0	Ca	16249.98756200
181	16335.69707600	122	30	9.40000000	+	e	X1Sigma+	2	0	0	0	Ca	16335.69707600
182	16338.13806400	146	36	13.32000000	+	e	X1Sigma+	0	0	0	0	Ca	16338.13806400
183	16344.93824100	74	18	3.67000000	+	e	X1Sigma+	5	0	0	0	Ca	16344.93824100
184	16414.78055500	50	12	1.86000000	+	e	X1Sigma+	6	0	0	0	Ca	16414.78055500
185	16511.31575900	94	23	5.72000000	-	e	X1Sigma+	4	0	0	0	Ca	16511.31575900
186	16593.54472200	110	27	7.71000000	-	e	X1Sigma+	3	0	0	0	Ca	16593.54472200
187	16691.64793600	54	13	2.12000000	-	e	X1Sigma+	6	0	0	0	Ca	16691.64793600
188	16749.60765600	78	19	4.05000000	-	e	X1Sigma+	5	0	0	0	Ca	16749.60765600
189	16783.71828300	2	0	0.35000000	+	e	X1Sigma+	7	0	0	0	Ca	16783.71828300
190	16804.91124700	6	1	0.37000000	-	e	X1Sigma+	7	0	0	0	Ca	16804.91124700
191	16847.26795500	10	2	0.41000000	+	e	X1Sigma+	7	0	0	0	Ca	16847.26795500
192	16910.73002200	14	3	0.47000000	-	e	X1Sigma+	7	0	0	0	Ca	16910.73002200
193	16975.86850000	138	34	11.95000000	+	e	X1Sigma+	1	0	0	0	Ca	16975.86850000
194	16988.00634200	58	14	2.40000000	+	e	X1Sigma+	6	0	0	0	Ca	16988.00634200
195	16995.21001400	18	4	0.55000000	+	e	X1Sigma+	7	0	0	0	Ca	16995.21001400
196	16995.80331600	126	31	10.02000000	-	e	X1Sigma+	2	0	0	0	Ca	16995.80331600
197	17020.35387500	98	24	6.20000000	+	e	X1Sigma+	4	0	0	0	Ca	17020.35387500
198	17100.59162000	22	5	0.65000000	-	e	X1Sigma+	7	0	0	0	Ca	17100.59162000
199	17127.91125300	150	37	14.06000000	-	e	X1Sigma+	0	0	0	0	Ca	17127.91125300
200	17171.93513100	82	20	4.45000000	+	e	X1Sigma+	5	0	0	0	Ca	17171.93513100
201	17186.43004000	114	28	8.27000000	+	e	X1Sigma+	3	0	0	0	Ca	17186.43004000
202	17226.72987500	26	6	0.77000000	+	e	X1Sigma+	7	0	0	0	Ca	17226.72987500
203	17303.46602600	62	15	2.70000000	-	e	X1Sigma+	6	0	0	0	Ca	17303.46602600
204	17373.45144000	30	7	0.91000000	-	e	X1Sigma+	7	0	0	0	Ca	17373.45144000
205	17540.55494000	34	8	1.07000000	+	e	X1Sigma+	7	0	0	0	Ca	17540.55494000
206	17545.04505600	102	25	6.70000000	-	e	X1Sigma+	4	0	0	0	Ca	17545.04505600
207	17611.39279600	86	21	4.87000000	-	e	X1Sigma+	5	0	0	0	Ca	17611.39279600
208	17637.61339800	66	16	3.02000000	+	e	X1Sigma+	6	0	0	0	Ca	17637.61339800
209	17668.47415200	130	32	10.66000000	+	e	X1Sigma+	2	0	0	0	Ca	17668.47415200
210	17712.88270900	142	35	12.65000000	-	e	X1Sigma+	1	0	0	0	Ca	17712.88270900
211	17727.81134000	38	9	1.25000000	-	e	X1Sigma+	7	0	0	0	Ca	17727.81134000
212	17793.18744800	118	29	8.85000000	-	e	X1Sigma+	3	0	0	0	Ca	17793.18744800
213	17927.28965800	154	38	14.82000000	+	e	X1Sigma+	0	0	0	0	Ca	17927.28965800
214	17934.96437900	42	10	1.45000000	+	e	X1Sigma+	7	0	0	0	Ca	17934.96437900
215	17990.01176300	70	17	3.36000000	-	e	X1Sigma+	6	0	0	0	Ca	17990.01176300
216	18067.43373800	90	22	5.31000000	+	e	X1Sigma+	5	0	0	0	Ca	18067.43373800
217	18084.76744400	106	26	7.22000000	+	e	X1Sigma+	4	0	0	0	Ca	18084.76744400
218	18161.73104800	46	11	1.67000000	-	e	X1Sigma+	7	0	0	0	Ca	18161.73104800
219	18352.98574400	134	33	11.32000000	-	e	X1Sigma+	2	0	0	0	Ca	18352.98574400
220	18360.20207300	74	18	3.72000000	+	e	X1Sigma+	6	0	0	0	Ca	18360.20207300
221	18407.80210100	50	12	1.91000000	+	e	X1Sigma+	7	0	0	0	Ca	18407.80210100
222	18413.13328900	122	30	9.45000000	+	e	X1Sigma+	3	0	0	0	Ca	18413.13328900
223	18460.27314700	146	36	13.37000000	+	e	X1Sigma+	1	0	0	0	Ca	18460.27314700
224	18539.49282900	94	23	5.77000000	-	e	X1Sigma+	5	0	0	0	Ca	18539.49282900
225	18638.88444800	110	27	7.76000000	-	e	X1Sigma+	4	0	0	0	Ca	18638.88444800
226	18672.84261300	54	13	2.17000000	-	e	X1Sigma+	7	0	0	0	Ca	18672.84261300
227	18735.49077600	158	39	15.60000000	-	e	X1Sigma+	0	0	0	0	Ca	18735.49077600
228	18742.20475800	2	0	0.40000000	+	e	X1Sigma+	8	0	0	0	Ca	18742.20475800
229	18747.70368800	78	19	4.10000000	-	e	X1Sigma+	6	0	0	0	Ca	18747.70368800
230	18762.48151600	6	1	0.42000000	-	e	X1Sigma+	8	0	0	0	Ca	18762.48151600
231	18803.00627000	10	2	0.46000000	+	e	X1Sigma+	8	0	0	0	Ca	18803.00627000
232	18863.72154400	14	3	0.52000000	-	e	X1Sigma+	8	0	0	0	Ca	18863.72154400
233	18944.54125000	18	4	0.60000000	+	e	X1Sigma+	8	0	0	0	Ca	18944.54125000
234	18956.49256700	58	14	2.45000000	+	e	X1Sigma+	7	0	0	0	Ca	18956.49256700
235	19026.98753900	98	24	6.25000000	+	e	X1Sigma+	5	0	0	0	Ca	19026.98753900
236	19045.35084300	22	5	0.70000000	-	e	X1Sigma+	8	0	0	0	Ca	19045.35084300
237	19045.57240100	126	31	10.07000000	-	e	X1Sigma+	3	0	0	0	Ca	19045.57240100
238	19048.60488500	138	34	12.00000000	+	e	X1Sigma+	2	0	0	0	Ca	19048.60488500
239	19152.01514200	82	20	4.50000000	+	e	X1Sigma+	6	0	0	0	Ca	19152.01514200
240	19166.00751800	26	6	0.82000000	+	e	X1Sigma+	8	0	0	0	Ca	19166.00751800
241	19206.74551600	114	28	8.32000000	+	e	X1Sigma+	4	0	0	0	Ca	19206.74551600
242	19217.27514900	150	37	14.11000000	-	e	X1Sigma+	1	0	0	0	Ca	19217.27514900
243	19258.36746400	62	15	2.75000000	-	e	X1Sigma+	7	0	0	0	Ca	19258.36746400
244	19306.34046100	30	7	0.96000000	-	e	X1Sigma+	8	0	0	0	Ca	19306.34046100
245	19466.15113700	34	8	1.12000000	+	e	X1Sigma+	8	0	0	0	Ca	19466.15113700
246	19529.31871600	102	25	6.75000000	-	e	X1Sigma+	5	0	0	0	Ca	19529.31871600
247	19551.72573400	162	40	16.40000000	+	e	X1Sigma+	0	0	0	0	Ca	19551.72573400
248	19572.61490000	86	21	4.92000000	-	e	X1Sigma+	6	0	0	0	Ca	19572.61490000
249	19578.05896100	66	16	3.07000000	+	e	X1Sigma+	7	0	0	0	Ca	19578.05896100
250	19645.21363400	38	9	1.30000000	-	e	X1Sigma+	8	0	0	0	Ca	19645.21363400
251	19689.79877200	130	32	10.71000000	+	e	X1Sigma+	3	0	0	0	Ca	19689.79877200
252	19754.58956000	142	35	12.70000000	-	e	X1Sigma+	2	0	0	0	Ca	19754.58956000
253	19787.68685100	118	29	8.90000000	-	e	X1Sigma+	4	0	0	0	Ca	19787.68685100
254	19843.27503400	42	10	1.50000000	+	e	X1Sigma+	8	0	0	0	Ca	19843.27503400
255	19915.13551400	70	17	3.41000000	-	e	X1Sigma+	7	0	0	0	Ca	19915.13551400
256	19983.11682500	154	38	14.87000000	+	e	X1Sigma+	1	0	0	0	Ca	19983.11682500
257	20008.96209600	90	22	5.36000000	+	e	X1Sigma+	6	0	0	0	Ca	20008.96209600
258	20045.87131700	106	26	7.27000000	+	e	X1Sigma+	5	0	0	0	Ca	20045.87131700
259	20060.05582700	46	11	1.72000000	-	e	X1Sigma+	8	0	0	0	Ca	20060.05582700
260	20269.14303300	74	18	3.77000000	+	e	X1Sigma+	7	0	0	0	Ca	20269.14303300
261	20295.25035900	50	12	1.96000000	+	e	X1Sigma+	8	0	0	0	Ca	20295.25035900
262	20345.09613600	134	33	11.37000000	-	e	X1Sigma+	3	0	0	0	Ca	20345.09613600
263	20375.19943300	166	41	17.22000000	-	e	X1Sigma+	0	0	0	0	Ca	20375.19943300
264	20381.03206300	122	30	9.50000000	+	e	X1Sigma+	4	0	0	0	Ca	20381.03206300
265	20460.49724400	94	23	5.82000000	-	e	X1Sigma+	6	0	0	0	Ca	20460.49724400
266	20470.18943900	146	36	13.42000000	+	e	X1Sigma+	2	0	0	0	Ca	20470.18943900
267	20548.52730500	54	13	2.22000000	-	e	X1Sigma+	8	0	0	0	Ca	20548.52730500
268	20576.01510000	110	27	7.81000000	-	e	X1Sigma+	5	0	0	0	Ca	20576.01510000
269	20595.69382000	2	0	0.45000000	+	e	X1Sigma+	9	0	0	0	Ca	20595.69382000
270	20615.05662800	6	1	0.47000000	-	e	X1Sigma+	9	0	0	0	Ca	20615.05662800
271	20639.60553100	78	19	4.15000000	-	e	X1Sigma+	7	0	0	0	Ca	20639.60553100
272	20653.75380100	10	2	0.51000000	+	e	X1Sigma+	9	0	0	0	Ca	20653.75380100
273	20711.72849200	14	3	0.57000000	-	e	X1Sigma+	9	0	0	0	Ca	20711.72849200
274	20757.01939500	158	39	15.65000000	-	e	X1Sigma+	1	0	0	0	Ca	20757.01939500
275	20788.89553800	18	4	0.65000000	+	e	X1Sigma+	9	0	0	0	Ca	20788.89553800
276	20819.53016400	58	14	2.50000000	+	e	X1Sigma+	8	0	0	0	Ca	20819.53016400
277	20885.14158600	22	5	0.75000000	-	e	X1Sigma+	9	0	0	0	Ca	20885.14158600
