i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1129	32598.915130	30	7	1.510000	-	e	X1Sigma+	19	0	0	0	Ca	32598.915130
1130	32602.548205	110	27	7.760000	-	e	A1Pi	2	1	0	1	Ca	32602.548205
1131	32602.751615	34	8	1.620000	-	f	A1Pi	9	1	0	1	Ca	32602.751615
1132	32604.071666	34	8	1.620000	+	e	A1Pi	9	1	0	1	Ca	32604.071666
1133	32614.319800	118	29	9.350000	-	e	X1Sigma+	13	0	0	0	Ca	32614.319800
1134	32630.932597	138	34	12.450000	+	e	X1Sigma+	11	0	0	0	Ca	32630.932597
1135	32631.107257	86	21	5.120000	+	f	A1Pi	5	1	0	1	Ca	32631.107257
1136	32632.488978	54	13	2.720000	-	e	X1Sigma+	18	0	0	0	Ca	32632.488978
1137	32633.244811	70	17	3.910000	-	e	X1Sigma+	17	0	0	0	Ca	32633.244811
1138	32643.163392	86	21	5.120000	-	e	A1Pi	5	1	0	1	Ca	32643.163392
1139	32646.981342	34	8	1.670000	+	e	X1Sigma+	19	0	0	0	Ca	32646.981342
1140	32650.434952	218	54	29.750000	+	e	X1Sigma+	1	0	0	0	Ca	32650.434952
1141	32655.148470	66	16	3.420000	-	f	A1Pi	7	1	0	1	Ca	32655.148470
1142	32659.030038	118	29	8.800000	+	f	A1Pi	1	1	0	1	Ca	32659.030038
1143	32661.055295	6	1	1.020000	+	f	A1Pi	10	1	0	1	Ca	32661.055295
1144	32661.083671	6	1	1.020000	-	e	A1Pi	10	1	0	1	Ca	32661.083671
1145	32661.629454	66	16	3.420000	+	e	A1Pi	7	1	0	1	Ca	32661.629454
1146	32663.776968	38	9	1.800000	+	f	A1Pi	9	1	0	1	Ca	32663.776968
1147	32665.427032	38	9	1.800000	-	e	A1Pi	9	1	0	1	Ca	32665.427032
1148	32669.336956	54	13	2.620000	+	f	A1Pi	8	1	0	1	Ca	32669.336956
1149	32672.950697	10	2	1.060000	-	f	A1Pi	10	1	0	1	Ca	32672.950697
1150	32673.035824	10	2	1.060000	+	e	A1Pi	10	1	0	1	Ca	32673.035824
1151	32673.259669	54	13	2.620000	-	e	A1Pi	8	1	0	1	Ca	32673.259669
1152	32689.242108	118	29	8.800000	-	e	A1Pi	1	1	0	1	Ca	32689.242108
1153	32690.603300	14	3	1.120000	+	f	A1Pi	10	1	0	1	Ca	32690.603300
1154	32690.773554	14	3	1.120000	-	e	A1Pi	10	1	0	1	Ca	32690.773554
1155	32699.198244	38	9	1.850000	-	e	X1Sigma+	19	0	0	0	Ca	32699.198244
1156	32706.284363	78	19	4.400000	+	f	A1Pi	6	1	0	1	Ca	32706.284363
1157	32713.779498	18	4	1.200000	-	f	A1Pi	10	1	0	1	Ca	32713.779498
1158	32714.063255	18	4	1.200000	+	e	A1Pi	10	1	0	1	Ca	32714.063255
1159	32715.883697	78	19	4.400000	-	e	A1Pi	6	1	0	1	Ca	32715.883697
1160	32726.182582	58	14	3.000000	+	e	X1Sigma+	18	0	0	0	Ca	32726.182582
1161	32726.563542	2	0	1.000000	+	e	X1Sigma+	20	0	0	0	Ca	32726.563542
1162	32729.188733	42	10	2.000000	-	f	A1Pi	9	1	0	1	Ca	32729.188733
1163	32731.205478	42	10	2.000000	+	e	A1Pi	9	1	0	1	Ca	32731.205478
1164	32731.207272	6	1	1.020000	-	e	X1Sigma+	20	0	0	0	Ca	32731.207272
1165	32734.679054	86	21	5.420000	-	e	X1Sigma+	16	0	0	0	Ca	32734.679054
1166	32738.797382	98	24	6.750000	+	e	X1Sigma+	15	0	0	0	Ca	32738.797382
1167	32740.418830	10	2	1.060000	+	e	X1Sigma+	20	0	0	0	Ca	32740.418830
1168	32742.158799	22	5	1.300000	+	f	A1Pi	10	1	0	1	Ca	32742.158799
1169	32742.584435	22	5	1.300000	-	e	A1Pi	10	1	0	1	Ca	32742.584435
1170	32754.044766	14	3	1.120000	-	e	X1Sigma+	20	0	0	0	Ca	32754.044766
1171	32754.815517	42	10	2.050000	+	e	X1Sigma+	19	0	0	0	Ca	32754.815517
1172	32768.676795	74	18	4.270000	+	e	X1Sigma+	17	0	0	0	Ca	32768.676795
1173	32770.297885	58	14	2.900000	-	f	A1Pi	8	1	0	1	Ca	32770.297885
1174	32771.850574	18	4	1.200000	+	e	X1Sigma+	20	0	0	0	Ca	32771.850574
1175	32774.824092	58	14	2.900000	+	e	A1Pi	8	1	0	1	Ca	32774.824092
1176	32775.324542	26	6	1.420000	-	f	A1Pi	10	1	0	1	Ca	32775.324542
1177	32775.389576	174	43	19.270000	-	e	X1Sigma+	7	0	0	0	Ca	32775.389576
1178	32775.920432	26	6	1.420000	+	e	A1Pi	10	1	0	1	Ca	32775.920432
1179	32777.902821	130	32	11.160000	+	e	X1Sigma+	12	0	0	0	Ca	32777.902821
1180	32781.431382	182	45	21.000000	-	e	X1Sigma+	6	0	0	0	Ca	32781.431382
1181	32790.713990	70	17	3.760000	+	f	A1Pi	7	1	0	1	Ca	32790.713990
1182	32793.514758	22	5	1.300000	-	e	X1Sigma+	20	0	0	0	Ca	32793.514758
1183	32797.848486	110	27	8.260000	-	e	X1Sigma+	14	0	0	0	Ca	32797.848486
1184	32798.005097	70	17	3.760000	-	e	A1Pi	7	1	0	1	Ca	32798.005097
1185	32798.076733	46	11	2.220000	+	f	A1Pi	9	1	0	1	Ca	32798.076733
1186	32800.496827	46	11	2.220000	-	e	A1Pi	9	1	0	1	Ca	32800.496827
1187	32802.390883	166	41	17.620000	-	e	X1Sigma+	8	0	0	0	Ca	32802.390883
1188	32810.261752	126	31	9.920000	+	f	A1Pi	0	1	0	1	Ca	32810.261752
